"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Liévano-Romero, K.; Rodríguez-Posada, M.E.; Gardner, S.L.","Liévano-Romero, Kevin S. (57214689629); Rodríguez-Posada, Miguel E. (35070172600); Gardner, Scott Lyell (7201943522)","57214689629; 35070172600; 7201943522","A New Species of Tricholeiperia (Nemata: Trichostrongyloidea: Molineidae) from Lampronycteris brachyotis (Chiroptera: Phyllostomidae) in Colombia","2026","Journal of Parasitology","112","1","","12","20","0","10.1645/25-21","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027109303&doi=10.1645%2F25-21&partnerID=40&md5=d11b67984884742be98faf62358b55a6","Tricholeiperia albae n. sp. is described from the small intestine of the yellow-throated big-eared bat, Lampronycteris brachyotis (Chiroptera: Phyllostomidae). Morphologic comparisons and a review of nematode parasites of neotropical bats indicate that this represents an undescribed species. Herein, we describe this species as new and show that this is a novel bat–parasite association. More than 50 species of bats have been reported from the Apure–Villavicencio dry forests ecoregion, but little is known of the parasite fauna. Continued exploration of new localities in Colombia underscores the need for trained researchers in parasite sampling and preservation. This work is enabling new collaborations using interdisciplinary approaches to understand symbiotic relationships in representative Colombian ecosystems, including those that were inaccessible before the Colombia peace agreement. © 2026 American Society of Parasitologists. All rights reserved.","Arauca Department; Colombia; Lampronycteris brachyotis; Nemata; South America; Tricholeiperia albae; Trichostrongyloidea; Yellow-throated big eared bat","bat; nematode; new species; parasite; range expansion; sampling; taxonomy; article; biogeographic region; Colombia; Colombian; controlled study; fauna; forest; Molineidae; Neotropics; nonhuman; Phyllostomidae; small intestine; South America; Trichostrongyloidea; animal; classification; epidemiology; female; isolation and purification; male; parasitology; trichostrongyloidiasis; ultrastructure; veterinary medicine; Animals; Chiroptera; Female; Intestine, Small; Male; Trichostrongyloidiasis","Article","Final","","Scopus","2-s2.0-105027109303"
"Suárez, A.M.; Gómez, R.L.","Suárez, Ana María (54884455800); Gómez, Ricardo L. (57218570277)","54884455800; 57218570277","The impact of armed conflict on educational outcomes in Colombia: A multilevel analysis using open data from periods of high and low conflict intensity","2025","International Journal of Educational Research Open","9","","100499","","","0","10.1016/j.ijedro.2025.100499","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008585116&doi=10.1016%2Fj.ijedro.2025.100499&partnerID=40&md5=bf6b651f319a35527501db3befecb137","Colombia's armed conflict has profoundly affected the lives and education of its youth. This study investigates the impact of armed conflict on educational outcomes by using a three-level hierarchical linear model (HLM) to analyze students’ academic performance at the municipal school and individual levels. Data were gathered for the years 2002, marked by the highest conflict intensity, and 2017, the lowest conflict intensity following the peace agreement. A municipal-level conflict intensity index was created by integrating data on homicides, forced disappearances, kidnappings, displacement, and the recruitment of minors, resulting in a more accurate assessment of violence in each municipality. The enrollment of conflict victims at the school level captures the direct impact of violence on students, serving as an additional lens through which to assess the conflict's influence on educational outcomes. The measure of academic performance was the Saber 11 results, Colombia's national large-scale assessment program, which evaluates all graduating high school students in core competencies, including reading, quantitative reasoning, science, English as a Foreign Language (EFL), and civics and citizenship. The findings reveal a significant impact of violence on educational outcomes in both years. Additionally, while the enrollment of conflict-affected students negatively predicted academic performance in 2002, this effect was not significant in 2017, despite a higher proportion of victimized students enrolled in schools. The results also align with previous research indicating that female students, those from low socio-economic backgrounds, and those attending public or rural schools consistently perform at lower levels. In contrast, male students, those from wealthier families, private schools, and urban areas tend to achieve higher educational outcomes. This research enhances the understanding of how armed conflict influences education and provides evidence to guide targeted interventions, particularly in post-conflict regions. The findings aim to inform strategies for conflict prevention and resolution within Colombia's educational system, supporting equitable and resilient learning environments. © 2025 The Authors","Armed conflict; Colombia; Education; Multilevel analysis; Open data; Youth","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105008585116"
"de Souza, R.C.S.; Aoki Inoue, C.Y.A.","de Souza, Rafaela Cristina Silva (60209027800); Aoki Inoue, Cristina Yumie (55545907400)","60209027800; 55545907400","Worlding Peacebuilding: Revisiting the Issue of Violence in Colombia’s San José de Apartadó Peace Community","2025","Latin American Perspectives","52","6","","91","109","0","10.1177/0094582X251392487","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022835110&doi=10.1177%2F0094582X251392487&partnerID=40&md5=8f2d090e5dc238c1f7ef05a54605c51d","The ideas of peace and peacebuilding seem to be universal and uncontroversial. However, the implementation of the Havana Peace Agreements has evidenced that this is not so, and that there are many ideas of peace and of how to build peace at the community level. This article aims to understand how the Peace Community of Apartadó perceives and experiences the Havana Peace Agreements, considering the ongoing violence and political exclusion of ethnic minorities and peasant populations in the territory. We will map out the main obstacles for the implementation of the Agreements, as well as the debate over how the community has mobilized to overcome violence and build peace within the territory. Through the analysis of everyday practices and the community’s discourse, we argue that there are processes that precede and go beyond the Havana Agreements, and that the community’s understanding of the conflict, as well as its daily peace-building practices, based on their knowledge and notions of land tenure, work and food sovereignty, are important sources of knowledge for constructing long-lasting peace models. © 2025 Latin American Perspectives","Armed conflict; Colombia; Decoloniality; Peace community; Peacebuilding","armed forces; decolonization; peace process; peacekeeping; political violence; Colombia","Article","Final","","Scopus","2-s2.0-105022835110"
"Zelli, F.; Krause, T.","Zelli, Fariborz (35104113700); Krause, Torsten (55804333700)","35104113700; 55804333700","The nature of peace: post-conflict peacebuilding and its implications for environment and livelihoods","2025","Ecology and Society","30","4","15","","","0","10.5751/ES-16247-300415","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021438642&doi=10.5751%2FES-16247-300415&partnerID=40&md5=583027e819eb0500acba84345327454e","This editorial introduces the special feature’s main objective: to provide latest research findings on the dynamics between environmental protection and post-conflict peacebuilding processes after internal armed conflicts. In the feature, we propose a broad understanding of environmental peacebuilding that takes all cycles of the peacebuilding process into account and puts stronger emphasis on the long-term social and environmental impacts. Based on this conceptualization, the contributions to this special feature analyze a series of environmental, social, political, and economic dimensions of post-conflict environmental peacebuilding processes in a diversity of geographical contexts. Building on a wide mix of methods from various disciplinary angles, the feature provides the reader with a range of important and novel results: on different types of impacts on ecosystems and livelihoods (e.g., largely detrimental consequences across Uganda or for environmental human rights defenders in Colombia as a whole, but also decreasing deforestation in Colombia’s Sumapaz territory); for various timings and cycles of peacebuilding processes (e.g., ongoing violent conflicts around Virunga National Park in the Democratic Republic of Congo or Iraq’s Kurdistan region, a recent truce in Tigray in late 2022, less than a decade of peacebuilding in Colombia, and over 20 years since the peace agreement in Uganda); at different political levels (from local areas like DRC’s Virunga region or Colombia’s Sumapaz area to national politics and international law contexts); and for a large set of actors (such as local farmers, indigenous communities, civil society groups, rebel groups, and local and national governmental actors). One core overarching finding across these contributions is the dominance of nature-neglecting, instrumentalizing and extractivist narratives with their far-reaching impacts on post-conflict societies. These impacts are not only environmental, e.g., deforestation and biodiversity loss, but also social, in the form of threats to livelihoods of vulnerable communities, and they re-produce old but create also new forms of physical, structural, and cultural violence. © 2025 by the author(s).","","","Editorial","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105021438642"
"Valbuena, D.; Santander, J.; García-Estévez, J.; Franco, N.","Valbuena, Diego (24342119600); Santander, Jairo (60006185300); García-Estévez, Javier (55849278300); Franco, Nathalia (60007120100)","24342119600; 60006185300; 55849278300; 60007120100","Unveiling policy gaps to better address the causes and drivers of tropical deforestation: A case study from the Colombian Amazon","2025","Land Use Policy","158","","107697","","","1","10.1016/j.landusepol.2025.107697","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011200049&doi=10.1016%2Fj.landusepol.2025.107697&partnerID=40&md5=7fc5ec4e1e3c4e5f61e2fce293367f44","Despite a clear understanding of the factors driving deforestation and the acknowledged need to control it, tropical deforestation remains a significant social and environmental challenge. Public policy can play a crucial role in combating tropical deforestation, yet gaps in policy formulation, operationalisation, and implementation can hinder its effectiveness. There is currently a lack of detailed analysis on policy gaps, especially concerning tropical deforestation. Our study analysed the policy gaps in a deforestation frontier in the Colombian Amazon during the post-conflict period to enhance our understanding of why public policies might be inadequate in curbing deforestation. This analysis involved identifying potential gaps in the formulation, operationalisation, and implementation of a major national policy framework aimed at controlling deforestation in Colombia. To identify and delineate these policy gaps, we combined secondary literature on deforestation drivers, existing databases, institutional capacity analyses, and national statistics. Our findings indicate that land speculation, a power vacuum, the expansion of pastures, cattle ranching, and infrastructure development are driving tropical deforestation in the study area. Additionally, this process of deforestation is linked to systemic and structural challenges in institutional capacity, broadening policy gaps, such as the exclusion of the main drivers in policy formulation, a lack of local capacity and resources for policy implementation, diverging visions and preferences for regional development, centralisation, and policy obsolescence, which affect both policy operationalisation and implementation. Based on these identified gaps, we discuss potential policy interventions to address them in the study area and other tropical regions. © 2025 The Authors","Environmental policy; Guaviare; Land grabbing; Land speculation; Land tenure; Land use/cover change; Landscape transformation","deforestation; environmental policy; land cover; land tenure; land use change; landscape change; literature review; policy approach; policy implementation; regional development; regional planning; tropical forest; tropical region; Amazonia; Colombia","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105011200049"
"Gutiérrez Zapata, D.M.; Cerón-Muñoz, M.F.; Barahona-Rosales, R.; Barrett, B.; Castro-Nunez, A.","Gutiérrez Zapata, Diana María (55849217600); Cerón-Muñoz, Mario Fernando (9939392300); Barahona-Rosales, Rolando (59177156700); Barrett, Brian W. (35993628500); Castro-Nunez, Augusto (57148457900)","55849217600; 9939392300; 59177156700; 35993628500; 57148457900","Deforestation in conflict-affected areas: A quantitative approach for integrating local perspectives during peacebuilding","2025","Land Use Policy","157","","107689","","","0","10.1016/j.landusepol.2025.107689","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010533241&doi=10.1016%2Fj.landusepol.2025.107689&partnerID=40&md5=5acd4c180d9df37baf6dd03494dfa8a7","This paper examines deforestation-related factors in Colombia's peacebuilding context. The study aims to understand local land use change by incorporating human perceptions as proxies for factors associated with underlying socioeconomic drivers of deforestation in post-conflict priority areas. Community perceptions of socioeconomic dimensions such as education, health, infrastructure, and peacebuilding, among others, were gathered from 98 groups of villages in the Antioquia region of Colombia. This information was categorized and weighted to create three perception-based outlooks: Optimistic (primarily marked by opportunities); Pessimistic (primarily marked by problems); and Neutral. Annual deforestation rate (ADR) data was generated from Landsat imagery, while biophysical and accessibility data came from official sources. Generalized additive models were used to assess the relationship between deforestation and biophysical and socioeconomic factors. The findings indicate that Optimistic outlooks on infrastructure and land adaptation were associated with a 22.59 % lower ADR compared to Neutral ones. Conversely, Optimistic outlooks of housing and sanitation topics were associated to a 19.65 % higher ADR compared to Pessimistic outlooks. Meanwhile, Pessimistic outlooks on reconciliation and peacebuilding topics were associated with a 22.09 % lower ADR than the Neutral. For biophysical factors, temperature differences above 1.4 °C and precipitation differences between 60 and 100 mm were associated with ADR of 1.8 % or higher. Regarding accessibility, the greater the distance to tertiary roads, the lower the ADR, which was below 0.6 % from 5 km onwards. Our approach of combining perceptions with biophysical data provides new insights into the factors associated with the underlying drivers of deforestation at a local level. This provides guidance on which to base land-use policies to protect the region's forests, such raising awareness of the value of forests and fostering community links with them. This approach can be adapted to similar contexts to provide new insights on how human perceptions of socioeconomic dimensions relate to deforestation at scales where data is not yet available. © 2025 Elsevier Ltd","Community participation; Forest; Land use change; Post-conflict; Public policy; Territory","accessibility; deforestation; housing; infrastructure; land use change; land use planning; Landsat; local participation; peace process; perception; political conflict; precipitation (climatology); sanitation; socioeconomic conditions; temperature effect; Antioquia [Colombia]; Colombia","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105010533241"
"Estrada, S.; Pasaje, M.; Botache, J.P.; Méndez-Paz, F.","Estrada, Santiago (60133483400); Pasaje, Michael (60133301800); Botache, Juan Pablo (60133338100); Méndez-Paz, Fabián (35622354100)","60133483400; 60133301800; 60133338100; 35622354100","The struggle for food amid social inequity and violence: Food insecurity in the Amazon piedmont in Caquetá; La lucha por la alimentación en medio de la inequidad social y la violencia: inseguridad alimentaria en el piedemonte amazónico en Caquetá","2025","Biomedica","45","4","","542","557","0","10.7705/biomedica.7531","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018262872&doi=10.7705%2Fbiomedica.7531&partnerID=40&md5=a4375c8524ada285e63ad00622f9a5fe","Introduction. The Amazon foothills are a territory of contrasts between natural abundance and various socio-environmental problems. Ethnic and peasant communities –and particularly women– have been the primary victims of these conflicts, which have exacerbated inequality gaps that prevent these communities from achieving adequate levels of well-being, including food security. Objectives. To determine the prevalence of food insecurity and identify the socioeconomic factors associated with its occurrence in two municipalities of the Andean-Amazon piedmont: San José del Fragua y Curillo. Materials and methods. We conducted a cross-sectional study to estimate the prevalence of food insecurity in communities of two municipalities in the southwest of Caquetá, using the Escala Latinoamericana y Caribeña de Seguridad Alimentaria. One hundred eighty-nine surveys were applied to households in the municipalities of Curillo and San José del Fragua. Results. Only 23.3% of the households declared food security, while 30.2% experienced moderate and severe food insecurity. Statistically significant associations were found between food insecurity and affiliation to the healthcare system, level of education, and self-recognition as a victim of the armed conflict. Conclusions. In these peasant populations, the high prevalence of food insecurity was associated with vulnerable socioeconomic conditions. The studied municipalities showed prevalence rates higher than the national average, reflecting marginalization and inequality related to the armed conflict, limited access to markets, and displacement of the agricultural vocation. These factors align with the country's sustained increase in food insecurity, even after the signing of the Peace Agreement. © (c) 2025 Biomedica. This work is licensed under a Creative Commons Attribution 4.0 International License. https://creativecommons.org/licenses/by/4.0/","armed conflicts; Food supply; rural population","adult; catering service; Colombia; cross-sectional study; female; food insecurity; human; male; middle aged; socioeconomics; violence; war; young adult; Adult; Armed Conflicts; Cross-Sectional Studies; Female; Food Insecurity; Food Supply; Humans; Male; Middle Aged; Socioeconomic Factors; Violence; Young Adult","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105018262872"
"Pinilla Loaiza, L.; Castañeda Rodriguez, Á.","Pinilla Loaiza, Laura (60013600400); Castañeda Rodriguez, Ángel (60013153300)","60013600400; 60013153300","Post-peace agreement and its impact on the urban transformation of Gaitania, Colombia; Post-acuerdo de paz y su incidencia en la transformación urbana de Gaitania, Colombia","2025","Cidades","49","","","204","223","0","10.15847/cct.32645","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011620745&doi=10.15847%2Fcct.32645&partnerID=40&md5=56dbc83622900cfd135f06420006892e","The signing and implementation of the Peace Agreements between the Colombian Government and the Revolutionary Armed Forces of Colombia have generated impacts in Colombian territory. Particularly, we found significant changes in territorial ordering, demographic dimension, land use, roads and infrastructure of public services of the 16 subregions, 170 municipalities and 11,000 villages prioritized by the Development Programs with a Territorial Approach, planning, ordering and management instruments. of resources within the framework of the Comprehensive Rural Reform. The article analyzes the influence of the post-peace agreement on the physical-spatial transformations of the township of Gaitania, Colombia. It is proposed that, through the application of surveys, documentary research of primary and secondary sources and field work, it is possible to generate an analysis of a physical, social and economic nature. The results indicate a process of urban consolidation, with an increase in the mix of uses and high-rise construction, as well as improvements in infrastructure and services. Finally, the limitations related to the scarcity of data and studies in small populated centers and the importance of analyzing this type of urban phenomena in the Colombian post-conflict context are highlighted. © 2024: Author(s).","armed conflict; peace agreement; urban studies; urban transformation","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105011620745"
"Gélvez, J.D.; Bauer, L.","Gélvez, Juan David (57205679806); Bauer, Leo (58505518300)","57205679806; 58505518300","Climate Disasters, Armed Conflict, and Forced Displacement: A 23-Year Spatial Analysis in Colombia","2025","Social Science Quarterly","106","4","e70053","","","0","10.1111/ssqu.70053","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009838902&doi=10.1111%2Fssqu.70053&partnerID=40&md5=fc0e64cd06e52d641fae7a5a8ef88603","Objective: This study examines the spatial dynamics of climate disasters, violence, and internal displacement in Colombia. Methods: We combine data on disasters, displacement, and conflict violence at the municipal level for all years between 1998 and 2021. Through descriptive and cluster analysis, the local Geary statistic, and principal component analysis, we identify distinct geographic patterns and temporal shifts in how these factors interact. Results: Our findings reveal persistent spatial clustering, with displacement, violence, and disasters becoming increasingly concentrated over time, particularly in regions historically inhabited by Indigenous and Afro-descendant communities. We also find strong spatial correlations between these factors, with violence emerging as the primary driver of displacement, especially in the years following the 2016 Peace Agreement. At the same time, certain areas exhibit persistently low levels of displacement, highlighting the uneven geographic distribution of these processes. Conclusions: By applying spatial methodologies, this research advances our understanding of the localized and interconnected nature of displacement, conflict, and environmental-related hazards, offering insights relevant to migration studies, environmental justice, and conflict research. © 2025 The Author(s). Social Science Quarterly published by Wiley Periodicals LLC on behalf of Southwestern Social Science Association.","armed conflict; Colombia; disasters; forced displacement; spatial analysis; violence","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105009838902"
"Silva-Ramos, C.R.; Rodriguez-Morales, A.J.; Hidalgo, M.","Silva-Ramos, Carlos Ramiro (57222162826); Rodriguez-Morales, Alfonso J. (8886801000); Hidalgo, Marylin E. (8292060900)","57222162826; 8886801000; 8292060900","Repercussions of the end of the armed conflict in Colombia and its influence on the emergence of zoonotic pathogens related to acute undifferentiated febrile illness: future challenges to be addressed","2025","Acta Tropica","267","","107680","","","2","10.1016/j.actatropica.2025.107680","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007164421&doi=10.1016%2Fj.actatropica.2025.107680&partnerID=40&md5=0e5822140452da5fa7be6fe567658e68","In Colombia, the internal armed conflict, which lasted over 50 years, had a significant socio-economical and environmental impact. The peace agreement reached in 2016, with the demobilisation of important illegal armed groups, opened new opportunities for economic development, but it has also brought challenges to public health. Formerly inaccessible areas controlled by illegal armed groups, which remained almost untouched by human disturbance, have opened to several human activities such as agriculture, livestock farming, and ecotourism. These activities have increased disrupting ecosystems and wildlife habitats, promoting contact with wildlife, creating conditions for the spillover and emergence of zoonotic pathogens, mainly those associated with acute undifferentiated febrile illness since most of the country is tropical and sub-tropical. Although some studies have shown the circulation of zoonotic febrile illnesses, the presence of unrecognized and potentially highly virulent zoonotic pathogens in the country remains a concern, since areas that were once isolated still lack proper healthcare infrastructure and surveillance systems. This narrative review explores how the end of the armed conflict in Colombia may have influenced the emergence of zoonotic pathogens, while examining related challenges and proposing potential solutions to address these concerns. © 2025","Acute undifferentiated febrile illness; Armed conflict; Colombia; Emerging infectious diseases; Health challenges; Post-conflict; Zoonoses","economic development; environmental impact; human activity; infectious disease; pathogen; peace process; social conflict; acute febrile illness; agricultural worker; agriculture; Colombia; communicable disease; controlled study; female; fever; habitat; human activities; human impact (environment); infectious agent; livestock; major clinical study; review; war; wildlife; zoonosis; animal; epidemiology; human; microbiology; Animals; Armed Conflicts; Communicable Diseases, Emerging; Humans; Zoonoses","Review","Final","","Scopus","2-s2.0-105007164421"
