"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Dutta, V.; Kushwaha, R.S.; Dubey, D.","Dutta, V. (9435178300); Kushwaha, Rakesh Singh (60364509000); Dubey, Divya (58345139900)","9435178300; 60364509000; 58345139900","Assessing long-term and multiple land use/land cover transitions in a freshwater tropical lake using geo-spatial tools—a case study from North India","2026","Environmental Monitoring and Assessment","198","2","193","","","0","10.1007/s10661-026-15043-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029032101&doi=10.1007%2Fs10661-026-15043-4&partnerID=40&md5=52b4d64e3ec6c827d23555f0e85bc361","Increasing anthropogenic pressures have significantly altered freshwater ecosystems worldwide, resulting in loss of biodiversity, reduced water extent, and shifts in aquatic vegetation dynamics. The Ganga Basin—one of the most populated basins—is experiencing rapid and abrupt urbanization over several decades, with significant loss of natural lakes and wetlands resulting in degradation of aquatic ecosystems. This study analyzed the long-term and multiple changes and the drivers of land use and land cover (LULC) of Karela Lake—an oxbow lake in the southern part of Lucknow, India, in the central part of the Ganga Basin, over the past 48 years from 1976 to 2024 using a multi-layer perceptron neural network (MLP-NN) model. Karela Lake serves as a vital wetland ecosystem, supporting a variety of species and acting as a crucial water source for over a dozen nearby villages. The results indicate a 90.64% decrease in wetland area as the prominent land use change during 1976–2024. The lake is shrinking due to land encroachment and farming, with a substantial reduction in the lake margin. The Markov chain prediction method is used to predict the future LULC around Karela Lake. The year 2040 scenario shows that agricultural land and built-up area will increase substantially, with a decrease in scrub land and lakes’ wetted area. The major driving factors responsible for the degradation of the lake are the encroachment, land use change, pollution, intensive agriculture, and groundwater over-extraction. The study recommends a stricter land use policy, along with the demarcation of the lake’s boundary by the state wetland authority to prevent further encroachment and to support a diverse range of aquatic wildlife. © The Author(s), under exclusive licence to Springer Nature Switzerland AG 2026.","Geospatial analysis; Land use and land cover (LULC) change; Landsat imagery; Markov Chain (MC) model; Multi-layer perceptron (MLP) neural network","Agricultural pollution; Animals; Aquatic ecosystems; Biodiversity; Chains; Lake pollution; Lakes; Land use; Multilayer neural networks; Network layers; Wetlands; Fresh Water; Ganga basin; Geo-spatial analysis; Land use and land cover; Land use and land cover change; Land use/land cover; Landsat imagery; Landuse change; Markov chain models; Multilayer perceptrons neural networks (MLPs); Markov processes; land cover; land use; Landsat; spatial analysis; accuracy; agricultural land; agriculture; Article; artificial neural network; biodiversity; cellular automaton; ecosystem; farming system; freshwater environment; geographic information system; geospatial tools; imagery; intensive agriculture; lake; lake basin; landsat imagery; Markov chain; multilayer perceptron; multiple land use/land cover transitions; nerve cell network; pollution; reaction optimization; regression model; tropics; urban sprawl; urbanization; vegetation dynamics; chemistry; environmental monitoring; environmental protection; India; procedures; wetland; Ganges Basin; Agriculture; Conservation of Natural Resources; Ecosystem; Environmental Monitoring; Urbanization","Article","Final","","Scopus","2-s2.0-105029032101"
"Adams, L.B.; Hayakawa, Y.S.","Adams, Lukman Boakye (59708009800); Hayakawa, Yuichi S. (36803116800)","59708009800; 36803116800","Inferring canopy disturbance sources in the Atewa Range Forest Reserve in Ghana through their relationship with topographic and geospatial features","2026","International Journal of Remote Sensing","","","","","","0","10.1080/01431161.2026.2617732","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028132516&doi=10.1080%2F01431161.2026.2617732&partnerID=40&md5=322b62f6fd3b5269a56f3b74ce20eda1","The Atewa Range Forest Reserve (ARFR), a biodiversity hotspot in Ghana, faces threats from farming, small-scale logging, and mining, endangering its biodiversity. While previous studies have focused on large-scale deforestation, this study explores the Sentinel-2 satellite imagery’s capabilities in mapping small-scale canopy disturbances that usually precede permanent forest conversion in tropical forests to fill the gap of the lack of information on the small-scale canopy disturbance dynamics in the ARFR. Spectral Mixture Analysis (SMA) was applied to map canopy gaps, and annual change detection within 100 m × 100 m grids was used to track canopy disturbances. The study assessed how disturbances correlated with elevation, slope, aspect, distance from the forest edge, and proximity to river channels. Results revealed a consistent trend in deforestation and canopy gaps, except in 2024, when gap coverage decreased, signalling a higher rate of forest recovery compared to previous years. Canopy gaps were also found to transition rapidly from ‘low’ to ‘high’ disturbance levels annually. Disturbances mostly showed increasing patterns with proximity to forest edge and river channels while showing increase-then-decrease patterns with elevation and slope. Disturbances were mostly west-facing in relation to aspect. The relationships inferred a likely anthropogenic source of the disturbances in the ARFR and advise increased monitoring of small-scale canopy disturbance activities. © 2026 Informa UK Limited, trading as Taylor & Francis Group.","Atewa; geospatial; GIS; Remote sensing; Sentinel-2; Spectral mixture analysis","Biodiversity; Deforestation; Logging (forestry); Satellite imagery; Atewa; Canopy disturbance; Canopy gaps; Forest edge; Forest reserves; Geo-spatial; Remote-sensing; Sentinel-2; Small scale; Spectral mixture analysis; Geographic information systems; Remote sensing","Article","aip","","Scopus","2-s2.0-105028132516"
"Hapsoro, C.A.; Maulina, S.G.; Rifai, M.K.; Razi, P.; Marzuki, M.","Hapsoro, Cahyo Aji (57195931304); Maulina, Syakira Ghina (59554587800); Rifai, Mochamad Khoirul (58088716100); Razi, P. (57201321856); Marzuki, Marzuki (25122625000)","57195931304; 59554587800; 58088716100; 57201321856; 25122625000","Fire risk modeling in tropical peatlands: a case study from South Sumatra","2026","Natural Hazards","122","1","29","","","0","10.1007/s11069-025-07755-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026471865&doi=10.1007%2Fs11069-025-07755-6&partnerID=40&md5=d693163af4b0203432ada4d6b843aba7","Forest fires pose a significant threat to ecological sustainability, human health, and economic stability, especially in fire-prone regions like South Sumatra, Indonesia. Peatland areas are particularly vulnerable due to their unique ecological characteristics and human-induced disturbances. The objective of this study is to map, analyze, and investigate forest fire risk and fire spread in peatlands within South Sumatra, Indonesia, from 2014 to 2023 using Remote Sensing and GIS technologies. Key geomorphological, environmental, and human activity parameters were assessed, including slope, elevation, temperature, distance to roads, and land cover. Each parameter was classified into five fire hazard levels, and a comprehensive forest fire risk map was generated using an overlay approach via the intersect method in ArcGIS. The analysis revealed that 74% of South Sumatra’s area is classified as having high to very high fire risk, with peatlands being the most vulnerable regions due to their low elevation, gentle slopes, moderate to high temperatures, and proximity to roads, which facilitate human access. Fire propagation was further examined using dNBR (differenced Normalized Burn Ratio), dNDVI (differenced Normalized Difference Vegetation Index), and hotspot data from NASA’s FIRMS. The dNBR and dNDVI analysis identified fluctuations in burn severity over the years, with significant damage observed in 2015, 2018, and 2022. However, the results of dNDVI and dNBR do not align due to differences in spectral sensitivity and atmospheric effects. Hotspot density analyzed using Kernel Density Estimation (KDE), highlighted fire-prone zones, particularly in peatland regions. Findings show that human activity, coupled with climatic phenomena such as El Niño, significantly influences fire risk and propagation in South Sumatra, Indonesia. © The Author(s), under exclusive licence to Springer Nature B.V. 2025.","Burn severity; Forest fire risk; GIS-based modeling; Hotspot mapping; Peat fire dynamics","disturbance; fire management; forest fire; GIS; mapping method; NDVI; peatland; remote sensing; risk assessment; Indonesia; South Sumatra","Article","Final","","Scopus","2-s2.0-105026471865"
"Ali, S.S.; Akhtar Ali Shah, S.A.A.; Ahmed, F.; Isha, S.; Hussain, Q.; Yamoat, N.; Yanghaipol, P.","Ali, Syed Shujaat (60162703100); Akhtar Ali Shah, Syed (7403888190); Ahmed, Fahad (57214278064); Isha, Sabahat (60162740400); Hussain, Qudeer (56506828500); Yamoat, Nirat (57653034200); Yanghaipol, Piyakorn (60162846800)","60162703100; 7403888190; 57214278064; 60162740400; 56506828500; 57653034200; 60162846800","Evaluating the combined impact of climate change and urbanization patterns on flood risks","2025","Engineering Research Express","7","4","045116","","","0","10.1088/2631-8695/ae1084","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020260961&doi=10.1088%2F2631-8695%2Fae1084&partnerID=40&md5=16a7ee195b4ba4f16584488093985eb8","Urban flooding exacerbated by climate change and urban expansion poses a significant challenge in developing countries like Pakistan. This study assesses the combined impacts of urbanization and climate change on flooding in eight identified hotspots in Peshawar based on reports from the Water and Sanitation Services Peshawar (WSSP). Climate projections utilize precipitation data from CMIP6 under SSP2-4.5 and SSP5-8.5 scenarios (1980–2100). Bias correction through quantile mapping and performance evaluation identified BCC-CSM2-MR as the top-performing Global Circulation Model (GCM), with the five best models used for future projections. Land cover analysis using Landsat imagery (2000 and 2024) from the USGS was processed in GIS and classified into built-up areas, barren land, cropland, and water bodies, revealing significant urban expansion. Saturation years were estimated based on annual growth rates for each hotspot. Rainfall-runoff modeling in WinTR-20 was conducted for land cover scenarios in 2000, 2024, and projected saturation years, as well as climate projections, to estimate peak flows. Results indicate rapid urbanization, with saturation expected by 2025 in Hotel Grand and Madina Colony and by 2034 in National Bank Colony and Warsak Road. Under SSP5-8.5, precipitation could increase by up to 81% with a 200-year return period. Hydrological modeling predicts rising peak flows across all catchments, with NB Colony reaching 112 m3 s−1 under urbanization and extreme climate scenarios, approximately 114% higher than the peak value in the year 2024. These findings underscore the need to integrate climate and land cover dynamics into sustainable urban drainage planning to mitigate future flood risks effectively. © 2025 IOP Publishing Ltd. All rights, including for text and data mining, AI training, and similar technologies, are reserved.","climate change; CMIP6; land cover analysis; rainfall-runoff modeling; urban flooding","Catchments; Data mining; Developing countries; Floods; Rain; Risk assessment; Runoff; Urban planning; Climate projection; CMIP6; Flood risks; Hotspots; Land cover; Land cover analysis; Peak flows; Rainfall - Runoff modelling; Urban expansion; Urban flooding; Climate change","Article","Final","","Scopus","2-s2.0-105020260961"
"Sarkar, M.; Goswami, K.; Saha, I.","Sarkar, Moumita (60285583700); Goswami, Koushiki (60285747100); Saha, Indrita (60286415300)","60285583700; 60285747100; 60286415300","Evaluating the relationship between land surface temperature and land use/land cover indices: Case study of a tropical town","2025","Turkish Journal of Remote Sensing","7","2","","300","321","0","10.51489/tuzal.1677892","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026817523&doi=10.51489%2Ftuzal.1677892&partnerID=40&md5=fcb6e45d6481c056125313dba587a1e5","This study examines the temporal patterns of Land Surface Temperature (LST) between 2013 and 2022 in Krishnagar, a tropical city in West Bengal, India. Summer and winter images for the months May and December were obtained from the Landsat 8-9 satellite which provide multispectral images and two thermal infrared (TIR) bands to capture the surface temperature. The association of LST with vegetation, waterbodies and built-up areas were examined. The results show that LST is negatively associated with NDVI, show moderately positively associated with NDBI and LST and weakly positively associated with NDWI. The central portion of Krishnagar experienced decreased vegetation and water content and increase in built-up areas, which led to recurring heat hotspots over the years, even during winters. The study attempts to evaluate the LST dynamics in a Class I nonmetropolitan city to assist administrators in planning climate-smart cities for a robust future. © 2025 by the authors.","Heat pocket; LST; NDBI; NDVI; NDWI","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105026817523"
"Pereira, P.R.M.; Bolfe, É.L.; Costa, F.W.D.; Rodrigues, T.C.S.; Farias Filho, M.S.; Braga, E.V.","Pereira, P. R.M. (57219053763); Bolfe, É. L. (26645366600); Costa, F. W.D. (57652754800); Rodrigues, Taíssa Caroline Silva (57222896777); Farias Filho, Marcelino Silva (60255895800); Braga, Eduarda Vaz (59136040200)","57219053763; 26645366600; 57652754800; 57222896777; 60255895800; 59136040200","Geospatial Scenario Modeling with Cellular Automata: Land Use and Cover Change in Southern Maranhão, Brazilian Savanna (2020–2030)","2025","Geomatics","5","4","65","","","0","10.3390/geomatics5040065","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025826227&doi=10.3390%2Fgeomatics5040065&partnerID=40&md5=d2f0f2b4f4a88e9442673f4eb37b4450","Land use and land cover (LULC) changes driven by agricultural and livestock expansion pose significant threats to the Brazilian savanna (Cerrado). This study aimed to analyze, map, and simulate LULC changes in the southern mesoregion of Maranhão State by generating geospatial scenarios projected through 2030. LULC changes between 2015 and 2020 were analyzed using Landsat images classified with the Random Forest machine learning algorithm. A spatial model based on cellular automata was employed to simulate land use and land cover scenarios for the year 2030. When comparing the simulated map with the reference map, an overall accuracy of 70.28% and a Kappa index of 0.608 were observed. Results revealed a decrease in native savanna and grassland areas, with a corresponding increase in agricultural and pasturelands, notably in municipalities such as Balsas, Riachão, Tasso Fragoso, Carolina and Porto Franco. The 2030 simulation predicts continued agricultural expansion and a potential reduction of approximately 19% in native Cerrado vegetation cover, highlighting municipalities of Campestre do Maranhão, Porto Franco, São João do Paraíso, Feira Nova, Estreito, Balsas, Tasso Fragoso and Carolina. These findings underscore the value of integrating remote sensing and spatial modeling techniques within the framework of Geomatics to support environmental monitoring and management of land-use dynamics, including expansion, contraction, diversification, and agricultural intensification. This approach provides critical insights into anthropogenic impacts on sensitive ecosystems, informing sustainable planning in tropical savanna regions. © 2025 by the authors.","Brazil; Cerrado; GIS; Landsat; machine learning; remote sensing","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105025826227"
"Sadeghi, H.A.; Danekar, A.; Abbasi-Shavazi, M.J.","Sadeghi, Habib Allah (60252617400); Danekar, Afshin (24483140100); Abbasi-Shavazi, Mohammad Jalal (15135323000)","60252617400; 24483140100; 15135323000","Spatial heterogeneity of environmental degradation in Iran: A stochastic dominance-based composite index at the county level","2025","Environmental and Sustainability Indicators","28","","101049","","","0","10.1016/j.indic.2025.101049","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025647977&doi=10.1016%2Fj.indic.2025.101049&partnerID=40&md5=2e41e3a5598ce5c22c27fc578bde9995","Environmental degradation is a multidimensional, spatially heterogeneous, and policy-relevant phenomenon that requires robust, reproducible, and spatially explicit assessment frameworks. This study constructs a Composite Environmental Degradation Index (CEDI) for 397 counties in Iran (2018–2022) by integrating multi-source satellite observations with a stochastic dominance (SD) algorithm and mixed-integer programming (MIP)-based weighting. Seven environmental dimensions were incorporated: climate change, greenhouse gases, land use, biodiversity, water resources, air pollution, and soil erosion. Quantitative results indicate that the SD–MIP approach assigns the highest contributions to climate change (0.279), greenhouse gases (0.226), and land use (0.223), while air pollution and soil erosion exert relatively lower impacts. Spatial autocorrelation analysis (Getis–Ord Gi∗) reveals statistically significant hot spots of environmental degradation across the western, southern, southeastern, and central regions, whereas cold spots are concentrated along the northern belt, particularly within the Hyrcanian forests, indicating greater ecological resilience. Temporally, although year-to-year fluctuations were observed, the overall trend suggests a gradual intensification of environmental stress, with the peak average CEDI reaching 0.58 in 2018 and 2020. Methodologically, applying stochastic dominance to composite index construction eliminates the bias of arbitrary weighting, incorporates the full distribution of each indicator, and quantifies uncertainty through Monte Carlo sensitivity analysis (n = 1000). The results demonstrate high robustness (mean Spearman's ρ = 0.91; SD = 0.03; mean Jaccard hotspot overlap = 85.2 %), confirming the model's stability and reliability. From a policy perspective, the CEDI functions as an early-warning and decision-support system, enabling region-specific interventions in high-risk areas while reinforcing sustainable practices in resilient regions. The proposed framework directly supports Sustainable Development Goals 13 (Climate Action) and 15 (Life on Land) and can be adapted to other developing-country contexts with diverse environmental and data conditions. © 2025 The Authors.","Composite indicators; Remote sensing; Spatial heterogeneity; Stochastic dominance; Sustainable development policies","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105025647977"
"Mindje Kayumba, P.; Chen, Y.; Zhi, L.; Mind'je, R.; Ali, S.","Mindje Kayumba, Patient (57954725800); Chen, Yaning (55900043700); Zhi, Li (58922430400); Mind'je, Richard (57205335356); Ali, Sikandar (57214290713)","57954725800; 55900043700; 58922430400; 57205335356; 57214290713","The Earth's Terrestrial Biodiversity Hotspots in Land Use Debt","2025","Earth's Future","13","12","e2025EF006799","","","0","10.1029/2025EF006799","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024584974&doi=10.1029%2F2025EF006799&partnerID=40&md5=f265bcab93c810e01a65843b77bf1ced","Land-use change is a primary driver of ecosystem degradation in terrestrial biodiversity hotspots, undermining global sustainability commitments. However, tracking progress under the Land Degradation Neutrality (LDN) policy, which aims to balance degradation with restoration, requires a systematic assessment of cumulative trends, a critical underexplored gap. Here, we present the first comprehensive annual assessment of land-use changes in these hotspots (1992–2022) guided by the LDN framework. We found that 9.4% of hotspots experienced land-use change, with rates declining by 0.06 Mha/year (1992–2015) before accelerating to 0.4 Mha/year (2016–2022). While human-driven impacts (e.g., deforestation, agriculture shifts) initially dominated, causing net natural ecosystem losses, post-2015 land-use improvement efforts (e.g., revegetation) increased. Yet, net land-use degradation outweighed improvement, resulting in a land-use debt of 29.1 Mha (0.9% of global hotspots). Driven by tropical deforestation, dryland degradation, agricultural shifts and urbanization, this debt correlated with impaired ecosystem structure and function. For instance, agricultural dynamics strongly correlated with reduced greenness in high-debt continents like Asia and the Americas (r = −0.92 and r = −0.80, respectively). Despite continental-scale greenness stabilization post-2015 (stable NDVI > 92%), these regions showed reversed carbon uptake, with net primary productivity declining to −0.0032 and −0.002 Kg C/m2 yr−1, respectively. This vegetation greenness paradox, where stable structural greenness masks functional degradation, reveals that current improvements remain insufficient to offset historical degradation, and that structural stabilization may not guarantee functional integrity. Thus, reversing land-use debt necessitates a locally tailored policy framework that prioritizes functional recovery alongside structural greening to ensure LDN restoration practices deliver ecosystem integrity in these hotspots. © 2025. The Author(s).","ecosystem health; global terrestrial biodiversity hotspots; land degradation neutrality; land use change; remote sensing","biodiversity; ecosystem health; ecosystem structure; land degradation; land use change; remote sensing; stabilization; sustainability; Asia","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105024584974"
"Alagulakshmi, K.; Arulraj, G.P.; Gautam, S.; Joshi, S.K.","Alagulakshmi, K. (60183784300); Arulraj, G. Prince (36996192300); Gautam, Sneha (56702038600); Joshi, Suneel Kumar (57201088460)","60183784300; 36996192300; 56702038600; 57201088460","Spatio-temporal patterns of land use and land cover, and their impact on groundwater quality in the industrialized Muvattupuzha basin","2025","Scientific Reports","15","1","39189","","","3","10.1038/s41598-025-24567-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021325061&doi=10.1038%2Fs41598-025-24567-7&partnerID=40&md5=aeda46eda160104bc959950c3c184164","Rapid urbanization and industrialization drive profound land use and land cover (LULC) transformations across India, placing unprecedented pressure on groundwater resources. This study presents a two-decade (2003–2023) spatio-temporal assessment of LULC dynamics and groundwater quality in the industrialized Muvattupuzha River Basin, Kerala. Multi-temporal Landsat imagery was classified using the Support Vector Machine (SVM) algorithm, achieving high classification performance (overall accuracy 89%, Kappa 0.86). Results reveal a striking 32.09% expansion of built-up areas, accompanied by a 17.91% decline in forest cover and a 4% reduction in agricultural land, reflecting accelerated urban sprawl and landscape conversion. The Entropy-based Groundwater Quality Index (EGWQI) exhibited a strong inverse relationship with built-up areas (r = − 0.91) and a highly positive association with forests and water bodies (r ≥ 0.98), underscoring the buffering role of natural ecosystems. Although 86.7% of wells remain in the ‘Excellent’ category, persistent contamination hotspots were identified near industrial and agricultural clusters, with risks amplified during monsoonal runoff events. Proximity and correlation analyses confirmed that industrial zones and quarries are critical drivers of localized groundwater degradation. These findings highlight the urgent need for integrated land–water governance, implementation of green infrastructure, and strict effluent management protocols to mitigate anthropogenic impacts and safeguard long-term groundwater sustainability in rapidly urbanizing tropical basins. © The Author(s) 2025.","Groundwater quality index; Land cover; Land use; River basin; Supporting vector machine","agricultural land; algorithm; article; correlation analysis; diagnosis; effluent; entropy; forest; green infrastructure; ground water; human impact (environment); imagery; Kerala; land use; river basin; runoff; support vector machine; urban area; urban sprawl; urbanization","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105021325061"
"Rajagopal, P.; Priya, R.; Sudha, G.","Rajagopal, Prashanthini (57954524900); Priya, Radhakrishnan Shanthi (55043280000); Sudha, G. (58121266600)","57954524900; 55043280000; 58121266600","Spatial characteristics of urban heat Islands: Land use-based assessment using Chennai's second master plan","2025","Environmental and Sustainability Indicators","28","","100900","","","2","10.1016/j.indic.2025.100900","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014971719&doi=10.1016%2Fj.indic.2025.100900&partnerID=40&md5=46fafcb71500d39615384053d3cdfe4e","The Urban Heat Island (UHI) effect exacerbates thermal discomfort, energy demand, and environmental stress in rapidly urbanizing cities. While numerous studies analyze UHI, there remains a gap in integrating zoning regulations with Surface Urban Heat Island (SUHI) patterns to assess how land use policies influence urban heat distribution. This study addresses this gap by investigating SUHI variations across land use categories in Chennai, a tropical megacity experiencing rapid urban expansion. Using Landsat 5 TM (2006) and Landsat 8 OLI/TIRS (2022) thermal imagery, the study analyzes Land Surface Temperature (LST), Land Contribution Index (LCI) which measures each land use's contribution to urban heat, Urban Thermal Field Variance Index (UTFVI) which quantifies land use wise urban thermal stress, and building footprint data. Unlike conventional studies that rely on Local Climate Zones (LCZ), land use categories from the Chennai Metropolitan Development Authority (CMDA) Master Plan (2006–2026) serve as an alternative zoning framework. The study provides a framework for identification of hotspots and cold spots across the land use categories provided in the Master Plan. The study also identifies key locations for Atmospheric UHI (AUHI) data collection in the future through data loggers, weather stations, and mobile traverse measurements. Results indicate an LST increase of +2.1 °C in primary residential and +1.8 °C in mixed residential zones between 2006 and 2022, while institutional and reserved forest areas exhibited lower thermal variations. This research contributes to Sustainable Development Goal 11 (SDG 11) by supporting climate-sensitive urban planning strategies for resilient and sustainable cities. © 2025","Atmospheric urban heat island; Hotspot identification; Land surface temperature; Land use patterns; Surface urban heat island; Urban heat island","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105014971719"
